t, ref_R, ref_th, Rv, thv
0.006800, 0.000000, 0.000000, 0.001051, 0.000716
0.006800, 0.000000, 0.000000, 0.001020, 0.000712
0.006850, 0.000000, 0.000000, 0.001020, 0.000712
0.006850, 0.000000, 0.000000, 0.001020, 0.000712
0.006900, 0.000000, 0.000000, 0.001020, 0.000712
0.006900, 0.000000, 0.000000, 0.000991, 0.000706
0.006950, 0.000000, 0.000000, 0.000991, 0.000706
0.006950, 0.000000, 0.000000, 0.000991, 0.000706
0.007000, 0.000000, 0.000000, 0.000991, 0.000706
0.007000, 0.000000, 0.000000, 0.000962, 0.000699
0.007050, 0.000000, 0.000000, 0.000962, 0.000699
0.007050, 0.000000, 0.000000, 0.000962, 0.000699
0.007100, 0.000000, 0.000000, 0.000962, 0.000699
0.007100, 0.000000, 0.000000, 0.000935, 0.000690
0.007150, 0.000000, 0.000000, 0.000935, 0.000690
0.007150, 0.000000, 0.000000, 0.000935, 0.000690
0.007200, 0.000000, 0.000000, 0.000935, 0.000690
0.007200, 0.000000, 0.000000, 0.000910, 0.000679
0.007250, 0.000000, 0.000000, 0.000910, 0.000679
0.007250, 0.000000, 0.000000, 0.000910, 0.000679
0.007300, 0.000000, 0.000000, 0.000910, 0.000679
0.007300, 0.000000, 0.000000, 0.000885, 0.000666
0.007350, 0.000000, 0.000000, 0.000885, 0.000666
0.007350, 0.000000, 0.000000, 0.000885, 0.000666
0.007400, 0.000000, 0.000000, 0.000885, 0.000666
0.007400, 0.000000, 0.000000, 0.000861, 0.000652
0.007450, 0.000000, 0.000000, 0.000861, 0.000652
0.007450, 0.000000, 0.000000, 0.000861, 0.000652
0.007500, 0.000000, 0.000000, 0.000861, 0.000652
0.007500, 0.000000, 0.000000, 0.000839, 0.000637
0.007550, 0.000000, 0.000000, 0.000839, 0.000637
0.007550, 0.000000, 0.000000, 0.000839, 0.000637
0.007600, 0.000000, 0.000000, 0.000839, 0.000637
0.007600, 0.000000, 0.000000, 0.000817, 0.000621
0.007650, 0.000000, 0.000000, 0.000817, 0.000621
0.007650, 0.000000, 0.000000, 0.000817, 0.000621
0.007700, 0.000000, 0.000000, 0.000817, 0.000621
0.007700, 0.000000, 0.000000, 0.000797, 0.000603
0.007750, 0.000000, 0.000000, 0.000797, 0.000603
0.007750, 0.000000, 0.000000, 0.000797, 0.000603
0.007800, 0.000000, 0.000000, 0.000797, 0.000603
0.007800, 0.000000, 0.000000, 0.000777, 0.000585
0.007850, 0.000000, 0.000000, 0.000777, 0.000585
0.007850, 0.000000, 0.000000, 0.000777, 0.000585
0.007900, 0.000000, 0.000000, 0.000777, 0.000585
0.007900, 0.000000, 0.000000, 0.000758, 0.000566
0.007950, 0.000000, 0.000000, 0.000758, 0.000566
0.007950, 0.000000, 0.000000, 0.000758, 0.000566
0.008000, 0.000000, 0.000000, 0.000758, 0.000566
0.008000, 0.000000, 0.000000, 0.000740, 0.000546
0.008050, 0.000000, 0.000000, 0.000740, 0.000546
0.008050, 0.000000, 0.000000, 0.000740, 0.000546
0.008100, 0.000000, 0.000000, 0.000740, 0.000546
0.008100, 0.000000, 0.000000, 0.000723, 0.000525
0.008150, 0.000000, 0.000000, 0.000723, 0.000525
0.008150, 0.000000, 0.000000, 0.000723, 0.000525
0.008200, 0.000000, 0.000000, 0.000723, 0.000525
0.008200, 0.000000, 0.000000, 0.000706, 0.000505
0.008250, 0.000000, 0.000000, 0.000706, 0.000505
0.008250, 0.000000, 0.000000, 0.000706, 0.000505
0.008300, 0.000000, 0.000000, 0.000706, 0.000505
0.008300, 0.000000, 0.000000, 0.000690, 0.000483
0.008350, 0.000000, 0.000000, 0.000690, 0.000483
0.008350, 0.000000, 0.000000, 0.000690, 0.000483
0.008400, 0.000000, 0.000000, 0.000690, 0.000483
0.008400, 0.000000, 0.000000, 0.000675, 0.000462
0.008450, 0.000000, 0.000000, 0.000675, 0.000462
0.008450, 0.000000, 0.000000, 0.000675, 0.000462
0.008500, 0.000000, 0.000000, 0.000675, 0.000462
0.008500, 0.000000, 0.000000, 0.000660, 0.000440
0.008550, 0.000000, 0.000000, 0.000660, 0.000440
0.008550, 0.000000, 0.000000, 0.000660, 0.000440
0.008600, 0.000000, 0.000000, 0.000660, 0.000440
0.008600, 0.000000, 0.000000, 0.000646, 0.000419
0.008650, 0.000000, 0.000000, 0.000646, 0.000419
0.008650, 0.000000, 0.000000, 0.000646, 0.000419
